Transcript	Gene
ENST00000493892.5	ENSG00000158006.14
ENST00000464540.1	ENSG00000158006.14
ENST00000476611.1	ENSG00000158006.14
ENST00000439092.6	ENSG00000158006.14
ENST00000441420.1	ENSG00000158006.14
ENST00000399029.3	ENSG00000214812.3
ENST00000378190.7	ENSG00000196581.11
ENST00000378191.5	ENSG00000196581.11
ENST00000466761.1	ENSG00000196581.11
ENST00000373857.8	ENSG00000169403.12
ENST00000305392.3	ENSG00000169403.12
ENST00000539896.1	ENSG00000169403.12
ENST00000302692.7	ENSG00000171612.7
ENST00000603857.1	ENSG00000270927.1
ENST00000373366.3	ENSG00000188910.8
ENST00000373362.3	ENSG00000188910.8
ENST00000417651.1	ENSG00000230523.1
ENST00000373871.8	ENSG00000158161.16
ENST00000373864.5	ENSG00000158161.16
ENST00000373863.3	ENSG00000158161.16
ENST00000495923.5	ENSG00000158161.16
ENST00000471498.5	ENSG00000158161.16
ENST00000468665.1	ENSG00000158161.16
ENST00000540618.5	ENSG00000158161.16
ENST00000436342.6	ENSG00000158161.16
ENST00000457440.1	ENSG00000233234.1
ENST00000636564.1	ENSG00000189337.17
ENST00000636203.1	ENSG00000189337.17
ENST00000491547.1	ENSG00000189337.17
ENST00000376030.7	ENSG00000189337.17
ENST00000503743.5	ENSG00000189337.17
ENST00000361144.9	ENSG00000189337.17
ENST00000376028.8	ENSG00000189337.17
ENST00000400797.3	ENSG00000189337.17
ENST00000400798.6	ENSG00000189337.17
ENST00000376259.7	ENSG00000028137.19
ENST00000492361.1	ENSG00000028137.19
ENST00000489921.1	ENSG00000028137.19
ENST00000536782.2	ENSG00000028137.19
ENST00000638002.1	ENSG00000283259.1
ENST00000253251.12	ENSG00000130939.20
ENST00000672724.1	ENSG00000130939.20
ENST00000343090.11	ENSG00000130939.20
ENST00000377153.5	ENSG00000130939.20
ENST00000462658.1	ENSG00000130939.20
ENST00000470736.1	ENSG00000130939.20
ENST00000466379.1	ENSG00000130939.20
ENST00000488228.1	ENSG00000130939.20
ENST00000487244.5	ENSG00000130939.20
ENST00000465408.1	ENSG00000130939.20
ENST00000310916.6	ENSG00000175147.13
ENST00000404665.4	ENSG00000175147.13
ENST00000650369.1	ENSG00000175147.13
ENST00000669314.1	ENSG00000175147.13
ENST00000660005.1	ENSG00000175147.13
ENST00000667108.1	ENSG00000175147.13
ENST00000486277.5	ENSG00000127472.11
ENST00000465698.5	ENSG00000127472.11
ENST00000460175.5	ENSG00000127472.11
ENST00000469069.5	ENSG00000127472.11
ENST00000489871.5	ENSG00000127472.11
ENST00000498348.1	ENSG00000127472.11
ENST00000375108.4	ENSG00000127472.11
ENST00000478803.1	ENSG00000127472.11
ENST00000345512.7	ENSG00000060656.20
ENST00000373779.8	ENSG00000060656.20
ENST00000428026.6	ENSG00000060656.20
ENST00000460170.2	ENSG00000060656.20
ENST00000527027.1	ENSG00000060656.20
ENST00000415600.6	ENSG00000060656.20
ENST00000531385.1	ENSG00000060656.20
ENST00000526080.1	ENSG00000060656.20
ENST00000493601.5	ENSG00000060656.20
ENST00000465525.6	ENSG00000060656.20
ENST00000492954.1	ENSG00000060656.20
ENST00000453860.1	ENSG00000230214.1
ENST00000338513.1	ENSG00000189280.3
ENST00000373210.4	ENSG00000134698.11
ENST00000488778.1	ENSG00000134698.11
ENST00000496257.1	ENSG00000134698.11
ENST00000607858.1	ENSG00000272420.1
ENST00000609129.2	ENSG00000273274.2
ENST00000430540.1	ENSG00000236648.2
ENST00000670395.1	ENSG00000236648.2
ENST00000669051.1	ENSG00000236648.2
ENST00000653706.1	ENSG00000236648.2
ENST00000437933.1	ENSG00000232273.1
ENST00000377022.8	ENSG00000130940.15
ENST00000478524.1	ENSG00000130940.15
ENST00000447850.3	ENSG00000130940.15
ENST00000344008.5	ENSG00000130940.15
ENST00000490176.1	ENSG00000130940.15
ENST00000496432.6	ENSG00000130940.15
ENST00000492173.1	ENSG00000130940.15
ENST00000478728.2	ENSG00000130940.15
ENST00000472814.1	ENSG00000130940.15
ENST00000652629.1	ENSG00000163879.11
ENST00000490312.1	ENSG00000163879.11
ENST00000466723.1	ENSG00000163879.11
ENST00000497858.1	ENSG00000163879.11
ENST00000467277.1	ENSG00000163879.11
ENST00000296218.8	ENSG00000163879.11
ENST00000436207.2	ENSG00000227527.2
ENST00000373001.4	ENSG00000116954.8
ENST00000474456.1	ENSG00000116954.8
ENST00000493015.1	ENSG00000116954.8
ENST00000496778.1	ENSG00000116954.8
ENST00000373091.8	ENSG00000163873.10
ENST00000373093.4	ENSG00000163873.10
ENST00000462621.1	ENSG00000163873.10
ENST00000479620.1	ENSG00000163873.10
ENST00000375105.8	ENSG00000117215.15
ENST00000617227.1	ENSG00000117215.15
ENST00000429293.1	ENSG00000230163.1
ENST00000391730.2	ENSG00000227538.1
ENST00000372581.2	ENSG00000044012.4
ENST00000375436.9	ENSG00000179051.14
ENST00000474892.1	ENSG00000179051.14
ENST00000375433.3	ENSG00000179051.14
ENST00000442006.2	ENSG00000215895.4
ENST00000373237.4	ENSG00000126067.12
ENST00000630477.1	ENSG00000126067.12
ENST00000621781.4	ENSG00000126067.12
ENST00000489803.5	ENSG00000274944.4
ENST00000454994.3	ENSG00000274944.4
ENST00000489575.2	ENSG00000274944.4
ENST00000621281.1	ENSG00000274944.4
ENST00000606802.1	ENSG00000272078.1
ENST00000438196.2	ENSG00000230451.2
ENST00000657859.1	ENSG00000231606.2
ENST00000449215.2	ENSG00000231606.2
ENST00000354618.10	ENSG00000054118.15
ENST00000469141.6	ENSG00000054118.15
ENST00000648638.1	ENSG00000054118.15
ENST00000466743.1	ENSG00000054118.15
ENST00000480336.1	ENSG00000254553.1
ENST00000641892.1	ENSG00000284653.1
ENST00000423216.2	ENSG00000237749.4
ENST00000619609.1	ENSG00000276747.1
ENST00000434936.2	ENSG00000228776.2
ENST00000375453.5	ENSG00000159339.13
ENST00000375448.4	ENSG00000159339.13
ENST00000468945.1	ENSG00000159339.13
ENST00000487048.5	ENSG00000159339.13
ENST00000467001.1	ENSG00000159339.13
ENST00000569711.1	ENSG00000261781.1
ENST00000289248.6	ENSG00000158315.11
ENST00000540558.1	ENSG00000158315.11
ENST00000372990.6	ENSG00000158315.11
ENST00000410048.5	ENSG00000186973.11
ENST00000409337.5	ENSG00000186973.11
ENST00000410025.5	ENSG00000186973.11
ENST00000409396.5	ENSG00000186973.11
ENST00000335282.5	ENSG00000186973.11
ENST00000481753.1	ENSG00000186973.11
ENST00000314607.11	ENSG00000146463.12
ENST00000441447.1	ENSG00000146463.12
ENST00000457946.1	ENSG00000146463.12
ENST00000482131.1	ENSG00000146463.12
ENST00000470175.1	ENSG00000146463.12
ENST00000492456.1	ENSG00000146463.12
ENST00000270815.5	ENSG00000142686.8
ENST00000503824.1	ENSG00000142686.8
ENST00000453178.1	ENSG00000142686.8
ENST00000419974.2	ENSG00000224751.2
ENST00000375406.2	ENSG00000117148.8
ENST00000617065.1	ENSG00000117148.8
ENST00000453979.2	ENSG00000230585.2
ENST00000372771.5	ENSG00000117000.9
ENST00000645057.1	ENSG00000284989.1
ENST00000429389.1	ENSG00000231630.1
ENST00000251195.9	ENSG00000092853.14
ENST00000466308.1	ENSG00000092853.14
ENST00000318121.8	ENSG00000092853.14
ENST00000373220.7	ENSG00000092853.14
ENST00000520551.1	ENSG00000092853.14
ENST00000517467.1	ENSG00000092853.14
ENST00000542839.1	ENSG00000255811.1
ENST00000490029.1	ENSG00000134697.13
ENST00000373062.8	ENSG00000134697.13
ENST00000462812.5	ENSG00000134697.13
ENST00000479255.1	ENSG00000134697.13
ENST00000538069.2	ENSG00000134697.13
ENST00000469191.1	ENSG00000134697.13
ENST00000489146.1	ENSG00000134697.13
ENST00000463351.1	ENSG00000134697.13
ENST00000488496.1	ENSG00000134697.13
ENST00000342280.5	ENSG00000187513.9
ENST00000450137.1	ENSG00000187513.9
ENST00000456841.2	ENSG00000225671.2
ENST00000378531.8	ENSG00000116151.14
ENST00000606372.5	ENSG00000116151.14
ENST00000378529.7	ENSG00000116151.14
ENST00000607342.5	ENSG00000116151.14
ENST00000469374.5	ENSG00000116151.14
ENST00000419785.1	ENSG00000116151.14
ENST00000449373.2	ENSG00000116151.14
ENST00000378525.2	ENSG00000116151.14
ENST00000607031.1	ENSG00000116151.14
ENST00000475812.1	ENSG00000116151.14
ENST00000494279.2	ENSG00000116151.14
ENST00000371276.9	ENSG00000006555.11
ENST00000488771.1	ENSG00000006555.11
ENST00000371274.8	ENSG00000006555.11
ENST00000448308.2	ENSG00000006555.11
ENST00000474654.1	ENSG00000006555.11
ENST00000463059.1	ENSG00000236111.5
ENST00000397572.5	ENSG00000214114.9
ENST00000494695.4	ENSG00000214114.9
ENST00000495043.5	ENSG00000214114.9
ENST00000465771.3	ENSG00000214114.9
ENST00000373347.6	ENSG00000116544.12
ENST00000495979.1	ENSG00000116544.12
ENST00000235180.4	ENSG00000116544.12
ENST00000629810.1	ENSG00000236723.2
ENST00000452466.1	ENSG00000236723.2
ENST00000413187.2	ENSG00000232467.2
ENST00000372684.8	ENSG00000117016.10
ENST00000372683.1	ENSG00000117016.10
ENST00000426886.1	ENSG00000163866.9
ENST00000521580.3	ENSG00000163866.9
ENST00000446026.1	ENSG00000163866.9
ENST00000456842.1	ENSG00000163866.9
ENST00000423898.1	ENSG00000163866.9
ENST00000417239.1	ENSG00000163866.9
ENST00000381143.4	ENSG00000237130.1
ENST00000373226.2	ENSG00000232335.1
ENST00000446686.1	ENSG00000232762.1
ENST00000294360.5	ENSG00000162384.14
ENST00000483739.5	ENSG00000162384.14
ENST00000470385.5	ENSG00000162384.14
ENST00000478839.1	ENSG00000162384.14
ENST00000489755.1	ENSG00000162384.14
ENST00000474227.1	ENSG00000162384.14
ENST00000602807.1	ENSG00000162384.14
ENST00000302250.7	ENSG00000162391.12
ENST00000371304.2	ENSG00000162391.12
ENST00000371714.5	ENSG00000117859.19
ENST00000435274.6	ENSG00000117859.19
ENST00000447887.5	ENSG00000117859.19
ENST00000495776.5	ENSG00000117859.19
ENST00000428468.6	ENSG00000117859.19
ENST00000453295.5	ENSG00000117859.19
ENST00000489990.5	ENSG00000117859.19
ENST00000484890.5	ENSG00000117859.19
ENST00000534040.5	ENSG00000117859.19
ENST00000532975.5	ENSG00000117859.19
ENST00000527631.5	ENSG00000117859.19
ENST00000531828.5	ENSG00000117859.19
ENST00000361556.9	ENSG00000117859.19
ENST00000473207.6	ENSG00000117859.19
ENST00000533884.5	ENSG00000117859.19
ENST00000481937.5	ENSG00000117859.19
ENST00000526917.5	ENSG00000117859.19
ENST00000462759.5	ENSG00000117859.19
ENST00000486942.5	ENSG00000117859.19
ENST00000467064.5	ENSG00000117859.19
ENST00000524620.1	ENSG00000117859.19
ENST00000528603.5	ENSG00000117859.19
ENST00000475697.5	ENSG00000117859.19
ENST00000531061.1	ENSG00000117859.19
ENST00000531819.5	ENSG00000117859.19
ENST00000533825.1	ENSG00000117859.19
ENST00000625138.1	ENSG00000117859.19
ENST00000371279.4	ENSG00000162396.6
ENST00000641494.1	ENSG00000284686.1
ENST00000641109.1	ENSG00000284686.1
ENST00000642129.1	ENSG00000284686.1
ENST00000641346.1	ENSG00000284686.1
ENST00000641415.1	ENSG00000284686.1
ENST00000294353.7	ENSG00000162378.13
ENST00000545132.5	ENSG00000162378.13
ENST00000569869.1	ENSG00000259818.1
ENST00000450811.1	ENSG00000234318.1
ENST00000418091.1	ENSG00000227485.1
ENST00000444290.1	ENSG00000236646.1
ENST00000371281.4	ENSG00000243725.7
ENST00000486621.1	ENSG00000243725.7
ENST00000371284.9	ENSG00000243725.7
ENST00000486091.1	ENSG00000243725.7
ENST00000372299.4	ENSG00000171872.5
ENST00000476802.1	ENSG00000171872.5
ENST00000371250.4	ENSG00000162407.9
ENST00000472957.1	ENSG00000162407.9
ENST00000459962.1	ENSG00000162407.9
ENST00000461655.1	ENSG00000162407.9
ENST00000476206.1	ENSG00000162407.9
ENST00000296215.8	ENSG00000163877.11
ENST00000638725.1	ENSG00000163877.11
ENST00000468040.2	ENSG00000163877.11
ENST00000493916.1	ENSG00000163877.11
ENST00000437890.1	ENSG00000228929.1
ENST00000426714.1	ENSG00000224570.1
ENST00000421838.1	ENSG00000224980.1
ENST00000624477.1	ENSG00000278967.1
ENST00000371486.4	ENSG00000157184.7
ENST00000636867.1	ENSG00000157184.7
ENST00000636239.1	ENSG00000157184.7
ENST00000636891.1	ENSG00000157184.7
ENST00000637252.1	ENSG00000157184.7
ENST00000636935.1	ENSG00000157184.7
ENST00000635862.1	ENSG00000157184.7
ENST00000635888.1	ENSG00000157184.7
ENST00000468572.2	ENSG00000157184.7
ENST00000638135.1	ENSG00000157184.7
ENST00000636673.1	ENSG00000157184.7
ENST00000637726.1	ENSG00000157184.7
ENST00000372571.5	ENSG00000198815.9
ENST00000372572.5	ENSG00000198815.9
ENST00000372573.5	ENSG00000198815.9
ENST00000445886.5	ENSG00000198815.9
ENST00000422278.1	ENSG00000198815.9
ENST00000454417.1	ENSG00000198815.9
ENST00000361346.6	ENSG00000198815.9
ENST00000545068.5	ENSG00000198815.9
ENST00000361776.5	ENSG00000198815.9
ENST00000528457.5	ENSG00000134744.14
ENST00000527941.5	ENSG00000134744.14
ENST00000257177.9	ENSG00000134744.14
ENST00000371544.7	ENSG00000134744.14
ENST00000466440.1	ENSG00000134744.14
ENST00000494469.5	ENSG00000134744.14
ENST00000471623.1	ENSG00000134744.14
ENST00000531722.5	ENSG00000134744.14
ENST00000474453.6	ENSG00000134744.14
ENST00000470212.1	ENSG00000134744.14
ENST00000469810.1	ENSG00000134744.14
ENST00000528642.5	ENSG00000134744.14
ENST00000497120.1	ENSG00000134744.14
ENST00000484723.6	ENSG00000134744.14
ENST00000481528.1	ENSG00000134744.14
ENST00000371541.5	ENSG00000134744.14
ENST00000481133.1	ENSG00000134744.14
ENST00000473856.5	ENSG00000134744.14
ENST00000355809.4	ENSG00000134744.14
ENST00000470626.1	ENSG00000134744.14
ENST00000524582.1	ENSG00000134744.14
ENST00000445825.1	ENSG00000233910.1
ENST00000666642.1	ENSG00000287703.1
ENST00000634670.1	ENSG00000283039.1
ENST00000435739.1	ENSG00000229294.1
ENST00000426454.2	ENSG00000236973.2
ENST00000617613.1	ENSG00000277397.1
ENST00000371470.8	ENSG00000162385.11
ENST00000371466.4	ENSG00000162385.11
ENST00000495868.1	ENSG00000162385.11
ENST00000462941.1	ENSG00000162385.11
ENST00000611376.1	ENSG00000275350.1
ENST00000262662.5	ENSG00000123080.12
ENST00000396148.2	ENSG00000123080.12
ENST00000371761.4	ENSG00000123080.12
ENST00000649962.1	ENSG00000285778.2
ENST00000667324.1	ENSG00000285778.2
ENST00000666275.1	ENSG00000285778.2
ENST00000440897.1	ENSG00000233407.1
ENST00000486478.5	ENSG00000162598.13
ENST00000450089.6	ENSG00000162598.13
ENST00000371201.3	ENSG00000162598.13
ENST00000488027.5	ENSG00000162598.13
ENST00000491817.2	ENSG00000162598.13
ENST00000623251.1	ENSG00000280317.1
ENST00000359600.6	ENSG00000162415.7
ENST00000464588.1	ENSG00000162415.7
ENST00000467509.5	ENSG00000162600.12
ENST00000460671.1	ENSG00000162600.12
ENST00000421528.6	ENSG00000162600.12
ENST00000371226.8	ENSG00000162600.12
ENST00000476933.1	ENSG00000162600.12
ENST00000456980.5	ENSG00000162600.12
ENST00000467063.1	ENSG00000162600.12
ENST00000419242.5	ENSG00000162600.12
ENST00000426139.5	ENSG00000162600.12
ENST00000453710.1	ENSG00000162600.12
ENST00000482274.2	ENSG00000162600.12
ENST00000235345.6	ENSG00000116704.8
ENST00000306052.12	ENSG00000157193.18
ENST00000661457.1	ENSG00000157193.18
ENST00000657047.1	ENSG00000157193.18
ENST00000653810.1	ENSG00000157193.18
ENST00000658277.1	ENSG00000157193.18
ENST00000667377.1	ENSG00000157193.18
ENST00000668448.1	ENSG00000157193.18
ENST00000657895.1	ENSG00000157193.18
ENST00000662198.1	ENSG00000157193.18
ENST00000529670.6	ENSG00000157193.18
ENST00000668071.1	ENSG00000157193.18
ENST00000480045.6	ENSG00000157193.18
ENST00000654834.1	ENSG00000157193.18
ENST00000653217.1	ENSG00000157193.18
ENST00000669432.1	ENSG00000157193.18
ENST00000662802.1	ENSG00000157193.18
ENST00000465675.6	ENSG00000157193.18
ENST00000371454.6	ENSG00000157193.18
ENST00000662604.1	ENSG00000157193.18
ENST00000658404.1	ENSG00000157193.18
ENST00000354412.7	ENSG00000157193.18
ENST00000668991.1	ENSG00000157193.18
ENST00000656486.1	ENSG00000157193.18
ENST00000654947.1	ENSG00000157193.18
ENST00000347547.7	ENSG00000157193.18
ENST00000655704.1	ENSG00000157193.18
ENST00000459674.5	ENSG00000157193.18
ENST00000659993.1	ENSG00000157193.18
ENST00000460214.6	ENSG00000157193.18
ENST00000481431.2	ENSG00000157193.18
ENST00000653169.1	ENSG00000157193.18
ENST00000475501.2	ENSG00000157193.18
ENST00000496580.1	ENSG00000157193.18
ENST00000654634.1	ENSG00000157193.18
ENST00000450469.1	ENSG00000157193.18
ENST00000661359.1	ENSG00000157193.18
ENST00000648983.1	ENSG00000116205.14
ENST00000498272.1	ENSG00000116205.14
ENST00000234827.6	ENSG00000116205.14
ENST00000371331.1	ENSG00000116205.14
ENST00000391366.3	ENSG00000116205.14
ENST00000445131.2	ENSG00000233994.2
ENST00000419107.1	ENSG00000227556.1
ENST00000452143.5	ENSG00000162607.13
ENST00000442679.5	ENSG00000162607.13
ENST00000339950.5	ENSG00000162607.13
ENST00000371146.5	ENSG00000162607.13
ENST00000647620.1	ENSG00000285954.1
ENST00000443064.2	ENSG00000233333.2
ENST00000354567.7	ENSG00000154027.19
ENST00000317704.8	ENSG00000154027.19
ENST00000344720.9	ENSG00000154027.19
ENST00000478407.1	ENSG00000154027.19
ENST00000469394.1	ENSG00000154027.19
ENST00000466114.1	ENSG00000154027.19
ENST00000524494.1	ENSG00000154027.19
ENST00000465146.5	ENSG00000154027.19
ENST00000530826.1	ENSG00000154027.19
ENST00000527263.1	ENSG00000154027.19
ENST00000478255.1	ENSG00000154027.19
ENST00000466393.1	ENSG00000154027.19
ENST00000531672.1	ENSG00000154027.19
ENST00000447525.1	ENSG00000234108.1
ENST00000425922.1	ENSG00000232676.1
ENST00000413677.1	ENSG00000213579.3
ENST00000476882.1	ENSG00000137960.6
ENST00000370759.4	ENSG00000137960.6
ENST00000429871.1	ENSG00000237852.1
ENST00000371129.4	ENSG00000132855.5
ENST00000482591.1	ENSG00000132855.5
ENST00000493994.1	ENSG00000132855.5
ENST00000604867.1	ENSG00000270549.1
ENST00000435230.1	ENSG00000237163.1
ENST00000430398.2	ENSG00000229636.2
ENST00000463018.5	ENSG00000116675.16
ENST00000494710.6	ENSG00000116675.16
ENST00000395325.7	ENSG00000116675.16
ENST00000483402.1	ENSG00000116675.16
ENST00000371069.5	ENSG00000116675.16
ENST00000472787.1	ENSG00000116675.16
ENST00000498720.1	ENSG00000116675.16
ENST00000263441.11	ENSG00000116675.16
ENST00000497030.5	ENSG00000162433.15
ENST00000470888.6	ENSG00000162433.15
ENST00000546702.5	ENSG00000162433.15
ENST00000327299.8	ENSG00000162433.15
ENST00000474968.5	ENSG00000162433.15
ENST00000479060.1	ENSG00000162433.15
ENST00000545314.5	ENSG00000162433.15
ENST00000395334.6	ENSG00000162433.15
ENST00000475108.5	ENSG00000213625.9
ENST00000371065.9	ENSG00000213625.9
ENST00000497874.5	ENSG00000213625.9
ENST00000488747.5	ENSG00000213625.9
ENST00000484243.1	ENSG00000213625.9
ENST00000613538.1	ENSG00000213625.9
ENST00000450668.1	ENSG00000233664.1
ENST00000651257.2	ENSG00000158966.16
ENST00000650260.1	ENSG00000158966.16
ENST00000495994.5	ENSG00000158966.16
ENST00000470527.1	ENSG00000158966.16
ENST00000486580.1	ENSG00000158966.16
